path,annotator,recorder,date,time,audio_duration,start_time,end_time,low_frequency,high_frequency,specie,bbox
AM16/2023_03_03/AM16_20230303_073000.WAV,Giulia,AM16,2023/03/03,07:30:00,00:01:00,9.174191,18.735478,1943.412281,7799.081606,Alaudidae,"[1, 0.23225806451612904, 0.20306666348332011, 0.15913978494623657, 0.1339530370105967]"
AM10/2023_05_09/AM10_20230509_100000.WAV,Edu,AM10,2023/05/09,10:00:00,00:01:00,1.464675,1.98162,3959.533539,6439.478704,Alaudidae,"[1, 0.02795698924731183, 0.17799687325528973, 0.008602150537634409, 0.046881166290837356]"
AM10/2023_05_09/AM10_20230509_100000.WAV,Edu,AM10,2023/05/09,10:00:00,00:01:00,13.156232,14.504595,2828.584717,6692.664551,Alaudidae,"[1, 0.2295698924731183, 0.19235005677550998, 0.02258064516129032, 0.08302273379603553]"
AM10/2023_05_23/AM10_20230523_080000.WAV,Edu,AM10,2023/05/23,08:00:00,00:01:00,17.240092,18.429064,2950.221436,4624.117188,Alaudidae,"[1, 0.2967741935483871, 0.2081414070184645, 0.01935483870967742, 0.04332246839697629]"
AM10/2023_05_23/AM10_20230523_080000.WAV,Edu,AM10,2023/05/23,08:00:00,00:01:00,15.508329,16.585296,2577.046387,4290.518066,Alaudidae,"[1, 0.2672043010752688, 0.2182688695345816, 0.01827956989247312, 0.04914098311985969]"
AM1/2023_05_14/AM1_20230514_093000.WAV,Edu,AM1,2023/05/14,09:30:00,00:01:00,40.554279,44.215968,3003.754395,6232.859375,Alaudidae,"[1, 0.7059139784946237, 0.19288461174882268, 0.06129032258064516, 0.0703690023132008]"
AM1/2023_05_15/AM1_20230515_060000.WAV,Edu,AM1,2023/05/15,06:00:00,00:01:00,23.434286,25.285714,2780.97583,5137.292969,Alaudidae,"[1, 0.4053763440860215, 0.20591638656815084, 0.030107526881720432, 0.05916276267603922]"
AM1/2023_05_15/AM1_20230515_060000.WAV,Edu,AM1,2023/05/15,06:00:00,00:01:00,45.473866,46.593912,3160.140137,5553.83252,Alaudidae,"[1, 0.7666666666666667, 0.19599800717943883, 0.01935483870967742, 0.054356999966361855]"
AM1/2023_05_15/AM1_20230515_060000.WAV,Edu,AM1,2023/05/15,06:00:00,00:01:00,52.314762,54.184377,3261.21582,5238.75293,Alaudidae,"[1, 0.8865591397849463, 0.1972955959353155, 0.03118279569892473, 0.045691792133893995]"
AM1/2023_05_15/AM1_20230515_060000.WAV,Edu,AM1,2023/05/15,06:00:00,00:01:00,36.944285,38.805284,2903.033691,5607.948242,Alaudidae,"[1, 0.6306451612903226, 0.19962086640334145, 0.03118279569892473, 0.06347223112072414]"
AM11/2023_03_03/AM11_20230303_073000.WAV,Giulia,AM11,2023/03/03,07:30:00,00:01:00,39.238949,43.780714,2293.907715,4322.344727,Anthus pratensis,"[2, 0.6913978494623656, 0.22352248242180298, 0.07526881720430108, 0.06107309639080698]"
AM16/2023_03_03/AM16_20230303_073000.WAV,Giulia,AM16,2023/03/03,07:30:00,00:01:00,3.406451,5.552072,4344.639064,8199.24745,Anthus pratensis,"[2, 0.07419354838709677, 0.16187832452382936, 0.03655913978494624, 0.0612233315233282]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,24.171421,24.514278,5268.647949,7829.07959,Anthus pratensis,"[2, 0.40483870967741936, 0.15481061399303264, 0.005376344086021506, 0.03818108807465617]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,0.575115,1.305069,5929.363281,8974.25293,Anthus pratensis,"[2, 0.015053763440860216, 0.14253616391693777, 0.012903225806451613, 0.03995210965313943]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,10.988015,11.115204,5158.632293,9022.65526,Anthus pratensis,"[2, 0.18387096774193548, 0.1489884938971913, 0.002150537634408602, 0.05389383099844022]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,12.76313,12.851609,6510.221191,7829.07959,Anthus pratensis,"[2, 0.2129032258064516, 0.1446115568204149, 0.002150537634408602, 0.017782973729420674]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,13.714282,13.833825,6070.038574,8576.388672,Anthus pratensis,"[2, 0.22903225806451613, 0.14359167368470943, 0.002150537634408602, 0.03332031215227331]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,15.544696,15.627645,6510.221191,7829.07959,Anthus pratensis,"[2, 0.2591397849462366, 0.1446115568204149, 0.002150537634408602, 0.017782973729420674]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,36.182477,36.304136,6329.851536,8000.705755,Anthus pratensis,"[2, 0.603225806451613, 0.144920606471594, 0.002150537634408602, 0.022581884074142213]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,17.872806,20.140086,5592.792277,7575.899267,Anthus pratensis,"[2, 0.31666666666666665, 0.15351731712058841, 0.03763440860215054, 0.029256629114963986]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,42.995379,43.802752,5852.892144,7892.06015,Anthus pratensis,"[2, 0.7225806451612903, 0.14935563248955752, 0.012903225806451613, 0.02881588096708083]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,50.781551,50.92533,5085.890222,7932.844812,Anthus pratensis,"[2, 0.8473118279569892, 0.1558776093176468, 0.002150537634408602, 0.04285361809116817]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,53.972334,54.293071,5144.625,8576.388672,Anthus pratensis,"[2, 0.9016129032258065, 0.15156451892457337, 0.005376344086021506, 0.04926600263200116]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,11.690319,11.817508,4797.363953,7338.897215,Anthus pratensis,"[2, 0.1956989247311828, 0.1624437023075043, 0.002150537634408602, 0.040981574100578066]"
AM16/2023_03_03/AM16_20230303_090000.WAV,Giulia,AM16,2023/03/03,09:00:00,00:01:00,9.865435,10.341011,5144.625,8383.637695,Anthus pratensis,"[2, 0.16774193548387098, 0.1526601486895902, 0.008602150537634409, 0.047074743101967464]"
