path,annotator,recorder,date,time,start_time,end_time,low_frequency,high_frequency,specie
AM15/2023_07_12/AM15_20230712_061000.WAV,Giulia,AM15,2023/07/12,06:10:00,3.170592,56.588168,-1.0,4673.780273,no bird sound
AM15/2023_07_12/AM15_20230712_061000.WAV,Giulia,AM15,2023/07/12,06:10:00,26.674325,54.27915,1669.361694,3748.433838,unknown
AM15/2023_06_26/AM15_20230626_062000.WAV,Giulia,AM15,2023/06/26,06:20:00,0.58587,69.373923,-1.0,6819.46582,no bird sound
AM10/2023_05_09/AM10_20230509_070000.WAV,Edu,AM10,2023/05/09,07:00:00,0.054905,24.597932,-1.0,2596.542969,Wind
AM10/2023_05_09/AM10_20230509_070000.WAV,Edu,AM10,2023/05/09,07:00:00,7.671334,20.875933,2277.162354,-1.0,Bird
AM10/2023_05_09/AM10_20230509_070000.WAV,Edu,AM10,2023/05/09,07:00:00,19.290638,22.58185,2885.131836,5161.065918,Bird
AM10/2023_05_09/AM10_20230509_070000.WAV,Edu,AM10,2023/05/09,07:00:00,26.855256,49.747272,-1.0,2137.762207,Wind
AM10/2023_05_09/AM10_20230509_070000.WAV,Edu,AM10,2023/05/09,07:00:00,32.489948,35.512445,2906.686768,7697.987793,Bird
AM10/2023_05_09/AM10_20230509_070000.WAV,Edu,AM10,2023/05/09,07:00:00,51.625503,59.956921,-1.0,3038.765869,Wind
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,0.068926,60.0,2155.10083,8260.800781,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,8.641585,10.425043,2505.699219,3145.9738,unknown
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,23.676048,26.941413,9429.416442,15664.345767,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,29.439977,30.284319,11804.873095,15544.420398,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,32.903504,34.359563,9982.245053,15765.208408,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,36.927053,37.70247,10274.234375,15523.368164,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,43.087306,45.448018,8933.524414,14390.469727,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,44.715681,59.991384,1298.168007,3090.231982,ciconia ciconia
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,47.472717,47.989661,10928.530273,14610.537109,carduelis carduelis
AM8/2023_05_30/AM8_20230530_085000.WAV,Giulia,AM8,2023/05/30,08:50:00,56.700172,57.647904,10596.647461,15759.962891,carduelis carduelis
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,3.454911,3.79954,2413.012451,3060.569336,charadrius hiaticula
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,8.012636,8.951752,2102.753662,6360.402344,curruca melanocephala
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,9.33946,10.821367,2102.753662,7308.379395,curruca melanocephala
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,12.02757,12.389431,2479.069824,3748.433838,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,14.203044,14.47444,2542.695577,3121.506984,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,15.982194,17.050546,2413.012451,3140.36792,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,18.377369,18.653073,2479.069824,3060.569336,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,21.056864,21.143021,2830.986328,8010.064453,saxicola rubicola
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,21.823665,22.23722,2413.012451,2982.429443,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,21.995979,22.064905,3476.856689,8773.233398,saxicola rubicola
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,22.857553,22.978173,2479.069824,8383.637695,saxicola rubicola
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,23.004021,23.193567,3221.948602,4134.19881,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,23.236646,23.331419,2479.069824,12010.625,saxicola rubicola
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,23.564044,24.003446,2358.256348,3406.05835,unknown
AM4/2023_05_30/AM4_20230530_095000.WAV,Edu,AM4,2023/05/30,09:50:00,23.564044,23.667433,2102.753662,8383.637695,saxicola rubicola
