path,annotator,recorder,date,time,audio_duration,start_time,end_time,low_frequency,high_frequency,specie
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,0.0,0.565714,1857.890806,6823.249512,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,5.854286,6.96,3610.597656,6273.062012,abiotic noise
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,5.854286,6.934286,0.0,1785.52417,abiotic noise
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,5.914286,6.925714,1881.718994,3449.984619,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,6.96,11.297143,18.972063,5970.894531,abiotic noise
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,11.297143,13.474286,0.0,1754.262451,abiotic noise
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,11.331429,12.488571,3583.403809,6542.93457,abiotic noise
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,11.331429,12.394286,1801.304199,3502.845947,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,12.394286,12.882857,1780.554521,3108.539916,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,12.488571,13.105714,3003.168457,5366.754395,galerida theklae
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,12.488571,13.054286,2956.591309,5252.657715,unknown
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,13.054286,13.431429,1964.719482,6681.76123,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,17.537143,18.848571,3050.338623,5177.788574,galerida theklae
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,20.468571,21.694286,1914.60437,4747.935059,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,24.334286,26.031429,2887.822754,5681.818848,galerida theklae
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,30.548571,32.537143,2820.347168,5601.550781,galerida theklae
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,41.194286,41.734286,2604.460205,3502.845947,cyanopica cooki
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,51.445714,52.08,2820.347168,3610.597656,unknown
AM1/2023_05_10/AM1_20230510_060000.WAV,Edu,AM1,2023/05/10,06:00:00,00:01:00,1.157143,5.854286,9.929216,8929.350586,abiotic noise
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,42.682366,43.22085,1835.439331,3880.953613,cyanopica cooki
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,46.938541,51.168868,2783.887331,5580.159668,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,56.191844,60.0,2694.625488,6313.355957,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,4.006318,5.354681,3002.294678,5289.884766,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,38.116025,41.17892,2859.131836,5530.822266,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,0.0,0.40494,2561.965612,5288.875584,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,34.299253,34.906663,1643.146973,2589.200684,cyanopica cooki
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,21.397186,28.711947,2748.598389,6258.256836,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,15.499713,17.046238,2721.505615,6020.322519,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,6.978748,11.898334,2667.957031,6517.407411,galerida theklae
AM1/2023_05_10/AM1_20230510_061000.WAV,Edu,AM1,2023/05/10,06:10:00,00:01:00,34.906663,38.02556,2667.957031,6189.182411,galerida theklae
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,5.552843,8.150488,0.0,2447.606689,abiotic noise
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,5.552843,8.150488,2513.953613,5372.189941,galerida theklae
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,8.150488,9.666858,0.0,8612.339844,abiotic noise
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,9.666858,10.024411,3019.23877,8808.632812,abiotic noise
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,9.666858,10.024411,0.0,2581.699219,abiotic noise
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,9.666858,10.024411,2547.650391,2904.667969,unknown
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,10.024411,12.936531,0.0,8709.974609,abiotic noise
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,12.936531,17.537143,2616.106689,5697.249023,galerida theklae
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,36.018093,40.149339,2399.405424,6141.904159,galerida theklae
AM1/2023_05_10/AM1_20230510_070000.WAV,Edu,AM1,2023/05/10,07:00:00,00:01:00,24.365307,29.931074,2583.18479,6653.621773,galerida theklae
